trial,coherence,rt,response,correct,v,a
250,0.1,1.6549999999999616,0,False,0.5,1.5
251,0.1,0.6600000000000003,0,False,0.5,1.5
252,0.1,0.4830000000000001,1,True,0.5,1.5
253,0.1,0.5930000000000002,1,True,0.5,1.5
254,0.1,0.5090000000000001,0,False,0.5,1.5
255,0.1,0.7860000000000004,1,True,0.5,1.5
256,0.1,2.0189999999999215,1,True,0.5,1.5
257,0.1,1.5399999999999743,1,True,0.5,1.5
258,0.1,1.379999999999992,0,False,0.5,1.5
259,0.1,1.1240000000000006,0,False,0.5,1.5
260,0.1,1.8279999999999426,1,True,0.5,1.5
261,0.1,1.5189999999999766,1,True,0.5,1.5
262,0.1,1.1840000000000006,0,False,0.5,1.5
263,0.1,0.8520000000000003,0,False,0.5,1.5
264,0.1,0.7560000000000003,0,False,0.5,1.5
265,0.1,0.5860000000000002,1,True,0.5,1.5
266,0.1,1.1290000000000007,1,True,0.5,1.5
267,0.1,1.0980000000000005,1,True,0.5,1.5
268,0.1,1.742999999999952,1,True,0.5,1.5
269,0.1,1.3459999999999956,0,False,0.5,1.5
270,0.1,0.5430000000000001,1,True,0.5,1.5
271,0.1,2.0719999999999157,0,False,0.5,1.5
272,0.1,0.9600000000000004,1,True,0.5,1.5
273,0.1,1.6749999999999594,1,True,0.5,1.5
274,0.1,0.4640000000000001,1,True,0.5,1.5
275,0.1,1.3919999999999906,1,True,0.5,1.5
276,0.1,0.4710000000000001,1,True,0.5,1.5
277,0.1,0.5760000000000002,0,False,0.5,1.5
278,0.1,0.6090000000000002,1,True,0.5,1.5
279,0.1,0.6950000000000003,0,False,0.5,1.5
280,0.1,0.44700000000000006,1,True,0.5,1.5
281,0.1,0.43400000000000005,1,True,0.5,1.5
282,0.1,0.6690000000000003,1,True,0.5,1.5
283,0.1,0.5040000000000001,1,True,0.5,1.5
284,0.1,0.5890000000000002,1,True,0.5,1.5
285,0.1,0.4580000000000001,1,True,0.5,1.5
286,0.1,0.9120000000000004,0,False,0.5,1.5
287,0.1,0.5800000000000002,0,False,0.5,1.5
288,0.1,1.1370000000000007,1,True,0.5,1.5
289,0.1,1.4729999999999817,0,False,0.5,1.5
290,0.1,0.5570000000000002,0,False,0.5,1.5
291,0.1,0.6360000000000002,0,False,0.5,1.5
292,0.1,0.6130000000000002,1,True,0.5,1.5
293,0.1,0.7910000000000004,0,False,0.5,1.5
294,0.1,1.2690000000000008,0,False,0.5,1.5
295,0.1,0.5830000000000002,1,True,0.5,1.5
296,0.1,0.6730000000000003,0,False,0.5,1.5
297,0.1,0.4770000000000001,0,False,0.5,1.5
298,0.1,0.6100000000000002,0,False,0.5,1.5
299,0.1,0.4950000000000001,0,False,0.5,1.5
300,0.1,0.5320000000000001,1,True,0.5,1.5
