rt,correct,model,final_boundary
2085.9999999999195,1,Classical DDM,
491.0000000000001,1,Classical DDM,
997.0000000000005,0,Classical DDM,
683.0000000000002,0,Classical DDM,
1062.0000000000005,0,Classical DDM,
1384.9999999999966,1,Classical DDM,
706.0000000000002,1,Classical DDM,
1644.999999999968,1,Classical DDM,
1083.0000000000007,1,Classical DDM,
751.0000000000003,0,Classical DDM,
506.0000000000001,1,Classical DDM,
1674.9999999999648,1,Classical DDM,
2322.9999999998936,1,Classical DDM,
721.0000000000003,1,Classical DDM,
458.00000000000006,0,Classical DDM,
553.0000000000001,1,Classical DDM,
987.0000000000005,1,Classical DDM,
815.0000000000003,1,Classical DDM,
1071.0000000000007,1,Classical DDM,
768.0000000000002,1,Classical DDM,
851.0000000000003,1,Classical DDM,
619.0000000000002,0,Classical DDM,
771.0000000000003,1,Classical DDM,
841.0000000000005,1,Classical DDM,
1397.9999999999952,1,Classical DDM,
1593.9999999999736,0,Classical DDM,
724.0000000000002,1,Classical DDM,
1198.0000000000007,1,Classical DDM,
539.0000000000001,0,Classical DDM,
681.0000000000002,0,Classical DDM,
902.0000000000003,1,Classical DDM,
1249.0000000000005,1,Classical DDM,
469.00000000000006,0,Classical DDM,
801.0000000000003,1,Classical DDM,
1271.000000000001,1,Classical DDM,
1846.9999999999459,0,Classical DDM,
1518.9999999999818,1,Classical DDM,
660.0000000000001,0,Classical DDM,
1295.000000000001,1,Classical DDM,
492.0000000000001,1,Classical DDM,
731.0000000000003,0,Classical DDM,
1347.000000000001,1,Classical DDM,
702.0000000000002,1,Classical DDM,
717.0000000000003,0,Classical DDM,
1321.0000000000007,1,Classical DDM,
2086.9999999999195,0,Classical DDM,
1053.0000000000005,1,Classical DDM,
469.00000000000006,0,Classical DDM,
567.0000000000002,0,Classical DDM,
545.0000000000001,1,Classical DDM,
745.0000000000003,0,Classical DDM,
835.0000000000005,1,Classical DDM,
2023.9999999999263,1,Classical DDM,
734.0000000000002,1,Classical DDM,
845.0000000000005,1,Classical DDM,
1401.9999999999948,1,Classical DDM,
870.0000000000003,1,Classical DDM,
716.0000000000002,0,Classical DDM,
818.0000000000002,1,Classical DDM,
2159.9999999999113,1,Classical DDM,
592.0000000000002,1,Classical DDM,
601.0000000000002,1,Classical DDM,
1552.9999999999782,1,Classical DDM,
637.0000000000002,1,Classical DDM,
566.0000000000001,0,Classical DDM,
528.0000000000001,1,Classical DDM,
636.0000000000001,1,Classical DDM,
998.0000000000005,1,Classical DDM,
463.00000000000006,1,Classical DDM,
1088.0000000000005,0,Classical DDM,
1418.999999999993,1,Classical DDM,
502.0000000000001,1,Classical DDM,
1702.9999999999616,1,Classical DDM,
2105.9999999999172,1,Classical DDM,
1640.9999999999684,1,Classical DDM,
612.0000000000001,1,Classical DDM,
1226.0000000000007,1,Classical DDM,
589.0000000000002,1,Classical DDM,
510.0000000000001,1,Classical DDM,
1650.9999999999675,1,Classical DDM,
2004.9999999999284,1,Classical DDM,
1335.000000000001,1,Classical DDM,
922.0000000000003,1,Classical DDM,
484.0000000000001,1,Classical DDM,
610.0000000000001,1,Classical DDM,
591.0000000000002,1,Classical DDM,
603.0000000000002,0,Classical DDM,
959.0000000000005,1,Classical DDM,
613.0000000000002,0,Classical DDM,
667.0000000000002,0,Classical DDM,
688.0000000000001,0,Classical DDM,
1399.999999999995,1,Classical DDM,
511.0000000000001,0,Classical DDM,
1021.0000000000003,1,Classical DDM,
672.0000000000001,0,Classical DDM,
708.0000000000002,1,Classical DDM,
1036.0000000000005,0,Classical DDM,
753.0000000000003,1,Classical DDM,
673.0000000000002,0,Classical DDM,
667.0000000000002,1,Classical DDM,
481.0000000000001,1,Classical DDM,
735.0000000000003,1,Classical DDM,
539.0000000000001,1,Classical DDM,
675.0000000000002,1,Classical DDM,
1000.0000000000005,0,Classical DDM,
589.0000000000002,0,Classical DDM,
1011.0000000000006,1,Classical DDM,
476.0000000000001,1,Classical DDM,
744.0000000000002,1,Classical DDM,
691.0000000000002,1,Classical DDM,
1784.9999999999527,1,Classical DDM,
1940.9999999999354,0,Classical DDM,
527.0000000000001,1,Classical DDM,
996.0000000000005,1,Classical DDM,
1448.9999999999895,1,Classical DDM,
528.0000000000001,1,Classical DDM,
538.0000000000001,0,Classical DDM,
442.00000000000006,1,Classical DDM,
1410.9999999999939,0,Classical DDM,
1390.999999999996,0,Classical DDM,
756.0000000000002,1,Classical DDM,
502.0000000000001,1,Classical DDM,
766.0000000000002,1,Classical DDM,
1024.0000000000005,1,Classical DDM,
595.0000000000002,1,Classical DDM,
1214.0000000000007,0,Classical DDM,
1233.0000000000005,1,Classical DDM,
889.0000000000003,0,Classical DDM,
838.0000000000003,1,Classical DDM,
2355.9999999998904,0,Classical DDM,
661.0000000000002,0,Classical DDM,
2306.999999999895,1,Classical DDM,
653.0000000000002,1,Classical DDM,
566.0000000000001,1,Classical DDM,
766.0000000000002,1,Classical DDM,
1278.0000000000007,0,Classical DDM,
1907.999999999939,0,Classical DDM,
1453.999999999989,1,Classical DDM,
2666.999999999856,1,Classical DDM,
435.00000000000006,1,Adaptive DDM,1.5890943841168688
673.0000000000002,1,Adaptive DDM,1.4752798240506253
652.0000000000001,0,Adaptive DDM,1.4837691433380162
686.0000000000001,1,Adaptive DDM,1.4701569775640513
547.0000000000001,0,Adaptive DDM,1.530468891320614
418.00000000000006,1,Adaptive DDM,1.5988855983374912
531.0000000000001,1,Adaptive DDM,1.5382531825648467
1031.0000000000007,0,Adaptive DDM,1.3650558242744235
900.0000000000003,1,Adaptive DDM,1.3987239204322834
481.0000000000001,0,Adaptive DDM,1.5638189029640879
523.0000000000001,1,Adaptive DDM,1.5422159498059789
1078.0000000000005,0,Adaptive DDM,1.3545008238163732
980.0000000000005,1,Adaptive DDM,1.3773831019287748
756.0000000000002,0,Adaptive DDM,1.4442257066228403
1093.0000000000005,1,Adaptive DDM,1.3512858592619152
684.0000000000001,1,Adaptive DDM,1.4709386203747274
1177.0000000000005,1,Adaptive DDM,1.3345597111658567
1043.0000000000007,1,Adaptive DDM,1.3622897884425351
958.0000000000005,0,Adaptive DDM,1.3829988952583676
769.0000000000003,1,Adaptive DDM,1.439702549452738
466.00000000000006,0,Adaptive DDM,1.5718700641890624
928.0000000000003,1,Adaptive DDM,1.3909616641736826
547.0000000000001,0,Adaptive DDM,1.530468891320614
1818.9999999999488,1,Adaptive DDM,1.2575501626068364
513.0000000000001,1,Adaptive DDM,1.547236750921769
1069.0000000000005,0,Adaptive DDM,1.3564648120303582
511.0000000000001,0,Adaptive DDM,1.5482499802586178
932.0000000000003,1,Adaptive DDM,1.3898791449937358
755.0000000000003,0,Adaptive DDM,1.4445773088184959
860.0000000000003,0,Adaptive DDM,1.410393955922317
578.0000000000002,1,Adaptive DDM,1.5159082464198075
1030.0000000000005,1,Adaptive DDM,1.365288582535889
468.00000000000006,1,Adaptive DDM,1.5707860807845893
998.0000000000005,1,Adaptive DDM,1.3729242239035868
676.0000000000001,0,Adaptive DDM,1.4740887467762072
1147.0000000000007,0,Adaptive DDM,1.340292928101669
1586.9999999999745,1,Adaptive DDM,1.2773420737641812
698.0000000000002,1,Adaptive DDM,1.465516045659524
1184.0000000000007,0,Adaptive DDM,1.3332586765834062
601.0000000000002,1,Adaptive DDM,1.505534389880118
972.0000000000005,1,Adaptive DDM,1.379403799086559
507.0000000000001,0,Adaptive DDM,1.550285580835101
640.0000000000001,0,Adaptive DDM,1.4887416058247185
908.0000000000003,1,Adaptive DDM,1.396472767319545
1474.9999999999868,1,Adaptive DDM,1.2896614044925938
1151.0000000000007,1,Adaptive DDM,1.3395135111222467
1467.9999999999875,1,Adaptive DDM,1.2905022559847912
626.0000000000001,1,Adaptive DDM,1.4946570745770584
520.0000000000001,1,Adaptive DDM,1.5437142903178087
609.0000000000002,1,Adaptive DDM,1.5020091708184538
1016.0000000000005,1,Adaptive DDM,1.3685841248531843
889.0000000000003,1,Adaptive DDM,1.4018636970430967
680.0000000000001,0,Adaptive DDM,1.4725089584000406
548.0000000000001,1,Adaptive DDM,1.5299885483309397
714.0000000000002,1,Adaptive DDM,1.4594566639912427
589.0000000000002,1,Adaptive DDM,1.5109021740258826
1031.0000000000007,1,Adaptive DDM,1.3650558242744235
880.0000000000003,0,Adaptive DDM,1.404471419474929
710.0000000000002,0,Adaptive DDM,1.460957903189069
577.0000000000002,1,Adaptive DDM,1.5163674531083524
510.0000000000001,1,Adaptive DDM,1.5487577359505704
899.0000000000003,1,Adaptive DDM,1.3990072187335394
560.0000000000001,1,Adaptive DDM,1.5242802829715496
977.0000000000005,1,Adaptive DDM,1.3781380231863547
546.0000000000001,0,Adaptive DDM,1.5309499553654289
437.00000000000006,1,Adaptive DDM,1.5879588051846008
657.0000000000002,1,Adaptive DDM,1.4817235553067831
989.0000000000005,0,Adaptive DDM,1.375138614431394
739.0000000000003,0,Adaptive DDM,1.4502752662196237
1126.0000000000005,1,Adaptive DDM,1.3444624810313068
737.0000000000003,0,Adaptive DDM,1.4509971743390306
718.0000000000002,1,Adaptive DDM,1.4579644052602618
1525.9999999999811,1,Adaptive DDM,1.2837945742080556
667.0000000000002,1,Adaptive DDM,1.4776781186041053
758.0000000000002,0,Adaptive DDM,1.443524082465426
738.0000000000002,0,Adaptive DDM,1.4506359495638332
672.0000000000001,1,Adaptive DDM,1.4756780423757792
667.0000000000002,1,Adaptive DDM,1.4776781186041053
1306.0000000000007,0,Adaptive DDM,1.3126459007769578
601.0000000000002,0,Adaptive DDM,1.505534389880118
905.0000000000003,1,Adaptive DDM,1.3973137856444962
531.0000000000001,1,Adaptive DDM,1.5382531825648467
593.0000000000002,1,Adaptive DDM,1.5091021664046107
1664.999999999966,1,Adaptive DDM,1.2699065116975345
826.0000000000003,1,Adaptive DDM,1.4208791474926394
757.0000000000003,1,Adaptive DDM,1.4438746314351234
904.0000000000003,1,Adaptive DDM,1.3975949671563752
1632.9999999999693,0,Adaptive DDM,1.272852154135905
852.0000000000003,0,Adaptive DDM,1.4128131696452273
